id,name,
0,Strumplå UG ( haftungsbeschränkt ), 
1,A . I . M . Berlin Europa - Transfer UG ( haftungsbeschränkt ),
2,Dräger + Wullenwever print + media Lübeck GmbH & Co . KG,
3,Jäger service Mecklenburg - Vorpommern GmbH,
4,H 3 Business Solutions GmbH,
5,HBV Hainstraße 4 Besitz - und Verwaltung gesellschaft mbH,
6,Auto haus Christoph Bellen dorf GmbH,
7,El Puerto Gastro GmbH,
8,WP - Objekt bau GmbH & Co . KG,
9,TABU Bismarckstraße GmbH,
10,"5 S GmbH Systeme , Software , Schulung",
11,ALEX BAU GmbH,
12,Yoo MÜNCHEN Verwaltungs GmbH,
13,EuroEconix GmbH,
14,Bühler + Goroncy Transporte GmbH,
15,Hornsgården GmbH,
16,BE / SPECIAL Image - und Kommunikations - Strategien GmbH,
17,Cormoran GR 1 GmbH,
18,"Dres . Schuster , Oertel , Krais & Partner Ärzte",
19,Calwer ' s Leder moden Heike Wagner,
20,2 1 . DT - Verwaltungs GmbH,
21,"Händel - Apotheke Inhaber : Amir Madjdian , Leipzig",
22,Golf @ web GmbH,
23,Reha - Zentrum Quellen busch park GmbH & Co . KG,
24,Elektronik 3 000 GmbH,
25,Vogels berg 2 00 8 - 2 GmbH,
26,Öko - Natur - Klima - Haus GmbH,
27,Ostend 1 8 6 Grundstücks verwaltung gesellschaft mbH,
28,KTÜ Kunststoff technik Übach GmbH,
29,Restaurant Café UNIKAT UG ( haftungsbeschränkt ),
30,Elbel ´ s Catering e . K .,
31,9 . Ost deutschland Invest GmbH,
32, Das Besetzung büro  Emrah Ertem e . K,
33,Aequus Beteiligungs GmbH,
34,Capcellence Team Vermögens verwaltung Vintage Year 0 6 / 0 7 GmbH & Co . KG,
35,[ blueworks ] - gmbh,
36,[ id ] Deutsche Immobilien rendite GmbH & Co . KG,
37,Kreher ` s Bau - und Sanierungs GmbH,
38,Bade ² Consulting H . - J . & Dr . M . Bade Unternehmens berater Partnerschaft,
39,>> ORION << BULKERS GmbH & Co . KG,
40,>> ORION << ADMINISTRATION GmbH,
41,Thumbs up ! Christine Daum Film produktion e . K,
42,Z _ punkt GmbH,
43,LOGO CAFÉ - Systeme International GmbH,
44,"bon goût , ESSEN - ERLEBEN GmbH",
45,storemaster ® GmbH & Co . KG .,
46,più caffè Deutschland GmbH,
47,Barbara Frères GmbH,
48,V · S Natur Strom Ost GmbH & Co . KG,
49,ODAR GP | GmbH & Co . KG,
50,Strumplå UG ( haftungsbeschränkt ),
51,Friggì GmbH,
52,SUPRÊME CARS GmbH,
53,work £ it Inhaber Rolf Bößmann e . K .,
54,BÆNG GmbH,
55,YOGOÛT GmbH,
56,AHS Auto mobile GmbH,
57,EUCHETRA GmbH,
58,Havelland Verwaltungs GmbH,
59,WAG Verwaltung gesellschaft mbH,
60,Vollstrudel GmbH,
61,Arbeit - Verwaltungs GmbH,
62,H & S Bio gas GmbH,
